1,QNBK,QNB,Doha,Financials,Banking Services,QAR 145.94B,9.8x,1.15,QAR 15.80,-0.6%
2,VFQS,Vodafone Qatar,Doha,Technology,Telecommunications Services,QAR 93.53B,21x,2.41,QAR 1.73,2.1%
3,IQCD,Industries Qatar,Doha,Consumer Non-Cyclicals,Consumer Goods Conglomerates,QAR 78.95B,15.9x,-0.48,QAR 13.05,0.8%
4,QISB,Qatar Islamic Bank,Doha,Financials,Banking Services,QAR 45.65B,10.9x,1.82,QAR 19.32,-0.7%
5,ORDS,Ooredoo QPSC,Doha,Technology,Telecommunications Services,QAR 34.34B,11.1x,0.66,QAR 10.72,0.2%
6,QGTS,Gas Transport Co,Doha,Energy,Oil & Gas Related Equipment and Services,QAR 24.60B,15.3x,1.75,QAR 4.44,3.2%
7,MARK,Masraf al rayan,Doha,Financials,Banking Services,QAR 20.69B,14.5x,0.42,QAR 2.22,-0.1%
8,MPHC,Mesaieed Petrochemical Holding,Doha,Basic Materials,Chemicals,QAR 20.35B,22.8x,-0.55,QAR 1.62,0.1%
9,DUBK,Dukhan Bank QPSC,Doha,Financials,Banking Services,QAR 19.48B,15.8x,1.92,QAR 3.74,-0.3%
10,ERES,Ezdan,Doha,Real Estate,Real Estate Operations,QAR 18.89B,178x,0.18,QAR 0.71,0%
11,QEWC,Electricity&Water,Doha,Utilities,Multiline Utilities,QAR 17.21B,11.7x,-0.76,QAR 15.65,0.6%
12,COMB,Commercial Bank Qatar,Doha,Financials,Banking Services,QAR 16.67B,5.4x,0.33,QAR 4.12,-0.1%
13,QIIB,Int Islamic Bank,Doha,Financials,Banking Services,QAR 16.62B,15x,0.82,QAR 10.98,0.1%
14,QFLS,Qatar Fuel,Doha,Energy,Oil & Gas,QAR 14.61B,14.3x,8.73,QAR 14.69,0.3%
15,QNNC,Qatar Navigation,Doha,Industrials,Freight & Logistics Services,QAR 13.13B,12.7x,8.07,QAR 11.56,-0.3%
16,BRES,Barwa,Doha,Real Estate,Real Estate Operations,QAR 10.04B,8.2x,1.21,QAR 2.58,-1%
17,AABQ,Al Ahli Bank,Doha,Financials,Banking Services,QAR 9.44B,11.6x,1.48,QAR 3.70,-0.2%
18,QINS,Qatar Insurance Co,Doha,Financials,Insurance,QAR 6.87B,15x,0.06,QAR 2.10,0.1%
19,QAMC,Qatar Aluminum,Doha,Basic Materials,Metals & Mining,QAR 6.83B,15.5x,,QAR 1.22,-1.3%
20,IGRD,Estithmar Holding QPSC,Doha,Industrials,Construction & Engineering,QAR 6.28B,17.6x,7.35,QAR 1.85,-0.1%
21,GISS,Gulf International,Doha,Energy,Oil & Gas Related Equipment and Services,QAR 6.03B,13.1x,0.19,QAR 3.25,1.6%
22,DOBK,Doha Bank,Doha,Financials,Banking Services,QAR 4.96B,6.1x,0.09,QAR 1.60,1.5%
23,AHCS,Aamal,Doha,Consumer Non-Cyclicals,Consumer Goods Conglomerates,QAR 4.81B,12.3x,1.43,QAR 0.76,0.9%
24,ZHCD,Zad Holding Co,Doha,Consumer Non-Cyclicals,Food & Tobacco,QAR 3.99B,20.3x,10.29,QAR 13.88,0%
25,UDCD,United Development Co,Doha,Real Estate,Real Estate Operations,QAR 3.79B,10.5x,-0.88,QAR 1.07,0.6%
26,MERS,Al Meera,Doha,Consumer Non-Cyclicals,Food & Drug Retailing,QAR 2.99B,16.2x,-2.52,QAR 14.51,0.5%
27,BLDN,Baladna Food,Doha,Consumer Non-Cyclicals,Food & Tobacco,QAR 2.56B,16.4x,0.13,QAR 1.36,1%
28,QANC,National Cement Co,Doha,Basic Materials,Construction Materials,QAR 2.35B,12.2x,-1.11,QAR 3.59,-0.1%
29,MEZA,Meeza Qstp LLC,Doha,Technology,Software & IT Services,QAR 2.20B,37.8x,0.76,QAR 3.35,-1.2%
30,GWCS,Gulf warehousing Co,Doha,Industrials,Freight & Logistics Services,QAR 1.84B,9.2x,-0.56,QAR 3.14,-0.5%
31,QIGD,Qatari Investors QPSC,Doha,Basic Materials,Construction Materials,QAR 1.84B,11.8x,-1.91,QAR 1.48,-0.2%
32,MCCS,Mannai Corp.,Doha,Technology,Software & IT Services,QAR 1.76B,9.6x,-9.75,QAR 3.87,-0.8%
33,QFBQ,Lesha Bank LLC,Doha,Financials,Banking Services,QAR 1.42B,13.7x,0.54,QAR 1.27,-0.8%
34,DICO,Doha Insurance,Doha,Financials,Insurance,QAR 1.26B,8.1x,0.32,QAR 2.52,0.4%
35,QIMC,Industrial Manufacturing Co,Doha,Consumer Non-Cyclicals,Consumer Goods Conglomerates,QAR 1.21B,8.8x,-0.44,QAR 2.54,1.4%
36,QIIC,Islamic Insurance Co,Doha,Financials,Insurance,QAR 1.20B,7.7x,0.19,QAR 8.03,0.1%
37,MCGS,Medicare,Doha,Healthcare,Healthcare Providers & Services,QAR 1.14B,28.2x,-0.33,QAR 4.05,0.1%
38,QGIR,General Insurance&Re,Doha,Financials,Insurance,QAR 865.44M,-0.6x,0,QAR 0.99,-0.1%
39,SALM,Salam International,Doha,Real Estate,Real Estate Operations,QAR 791.06M,12.4x,-0.81,QAR 0.68,-1.4%
40,BEMA,Damaan Islamic Insurance Co Beema,Doha,Financials,Insurance,QAR 780M,7.9x,0.59,QAR 3.90,-0.1%
41,QLMI,QLM Life Medical Insurance Company WLL,Doha,Financials,Insurance,QAR 740.25M,9.3x,0.5,QAR 2.09,-1.4%
42,KINS,Al Kaleej Takaful,Doha,Financials,Insurance,QAR 573.87M,9.1x,-6.49,QAR 2.25,0.3%
43,MRDS,Mazaya,Doha,Real Estate,Real Estate Operations,QAR 560M,-10x,-0.65,QAR 0.56,-0.7%
44,WDAM,Widam Food,Doha,Consumer Non-Cyclicals,Food & Tobacco,QAR 537.30M,-93.2x,-1.1,QAR 2.88,-3.4%
45,MKDM,Mekdam Holding QPSC,Doha,Technology,Software & IT Services,QAR 488.70M,12.2x,-0.69,QAR 3.58,-1%
46,MHAR,Al Mahhar Holding,Doha,Energy,Oil & Gas Related Equipment and Services,QAR 414M,12x,0.85,QAR 1.98,-1%
47,NLCS,Alijarah Holding Co QPSC,Doha,Real Estate,Real Estate Operations,QAR 344.38M,21.2x,-0.96,QAR 0.70,0.4%
48,TQES,Qatar Electronic Systems,Doha,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",QAR 265.33M,,,QAR 3.14,0%
49,QOIS,Qatar Oman Investment,Doha,Financials,Investment Banking & Investment Services,QAR 226.80M,-51.3x,24.51,QAR 0.72,-0.4%
50,DBIS,Dlala,Doha,Financials,Investment Banking & Investment Services,QAR 226.18M,594x,5.03,QAR 1.19,-0.2%
51,QGMS,Qatari German Co,Doha,Healthcare,Healthcare Equipment & Supplies,QAR 203.74M,294.2x,-6.35,QAR 1.76,-0.7%
52,QCFD,Cinema&Film Distribution,Doha,Consumer Cyclicals,Hotels & Entertainment Services,QAR 169.58M,40.3x,0.74,QAR 2.70,3.8%
53,FALH,Al Faleh Educational Holding Company Q.P.S.C,Doha,Academic & Educational Services,"School, College & University",QAR 147.36M,13.1x,28.53,QAR 0.61,0%
