1,EXPO,Expolanka,Colombo,Industrials,Freight & Logistics Services,LKR 294.21B,-16.7x,0.11,LKR 151,2%
2,JKH,John Keells,Colombo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,LKR 271.23B,28.8x,8.87,LKR 180.50,0.6%
3,CTC,Ceylon Tobacco,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 234.15B,8x,0.29,"LKR 1,250",0%
4,LOLC,LOLC Holdings,Colombo,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",LKR 199.58B,6.6x,0.19,LKR 420,0%
5,LOLF,LOLC Finance,Colombo,Financials,Banking Services,LKR 188.55B,8.1x,1.34,LKR 5.70,1.8%
6,COMB,Commercial Bank of Ceylon,Colombo,Financials,Banking Services,LKR 124.53B,3.2x,0.06,LKR 93,2.2%
7,SLTL,Sri Lanka Telecom,Colombo,Technology,Telecommunications Services,LKR 123.99B,-39.9x,0.1,LKR 68.70,0.3%
8,DIST,Distilleries of Sri Lanka,Colombo,Consumer Non-Cyclicals,Beverages,LKR 119.60B,8.7x,-0.34,LKR 26,0.4%
9,HNB,Hatton National Bank,Colombo,Financials,Banking Services,LKR 102.93B,3.6x,0.14,LKR 180,0.1%
10,COMBt,Commercial Bank of Ceylon,Colombo,Financials,Banking Services,LKR 99.22B,4x,0.06,LKR 74.10,0.8%
11,CARG,Cargills,Colombo,Consumer Non-Cyclicals,Food & Drug Retailing,LKR 99.21B,16.2x,1.73,LKR 385,2.4%
12,MELS,Melstacorp,Colombo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,LKR 94.98B,10.2x,-0.22,LKR 81.50,0.6%
13,SAMP,Sampath Bank,Colombo,Financials,Banking Services,LKR 89.59B,4x,0.07,LKR 76.40,0.7%
14,DIAL,Dialog Axiata PLC,Colombo,Technology,Telecommunications Services,LKR 85.56B,8.2x,0.02,LKR 9.30,0%
15,LION,Lion Brewery Ceylon,Colombo,Consumer Non-Cyclicals,Beverages,LKR 83.92B,9.6x,0.47,"LKR 1,049",-0%
16,HNBt,Hatton National Bank,Colombo,Financials,Banking Services,LKR 81.77B,4.5x,0.14,LKR 143,2.1%
17,BROW,Browns Investments,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 77.60B,7.1x,0.03,LKR 5.40,1.9%
18,HAYL,Hayleys PLC,Colombo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,LKR 70.88B,8.6x,-0.18,LKR 94.50,0.5%
19,CINS,Ceylinco Insurance,Colombo,Financials,Insurance,LKR 66.04B,5.7x,-0.52,"LKR 2,500",-0%
20,LIOC,Lanka IOC PLC,Colombo,Energy,Oil & Gas,LKR 61.77B,4x,-0.08,LKR 116,1.5%
21,CTHR,C T Holdings PLC,Colombo,Consumer Non-Cyclicals,Food & Drug Retailing,LKR 57.40B,12.6x,0.5,LKR 285,0%
22,CARS,Carson Cumberbatch,Colombo,Consumer Non-Cyclicals,Beverages,LKR 57.15B,4.9x,-0.25,LKR 291,2.1%
23,CCS,Ceylon Cold Stores,Colombo,Consumer Non-Cyclicals,Beverages,LKR 55.12B,12.9x,0.1,LKR 58,4.5%
24,VALI,Vallibel One PLC,Colombo,Basic Materials,Construction Materials,LKR 53.42B,5.3x,1.3,LKR 46.90,2.4%
25,SPEN,Aitken Spence PLC,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 48.21B,8.2x,-0.29,LKR 118.75,2.4%
26,HHL,Hemas,Colombo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,LKR 46.20B,7.8x,0.2,LKR 77.40,0.5%
27,NTBt,Nations Trust Bank Non Voting,Colombo,Financials,Banking Services,LKR 40.65B,2.9x,0.07,LKR 135,13%
28,RICH,Richard Pieris and,Colombo,Consumer Non-Cyclicals,Food & Drug Retailing,LKR 39.28B,25.1x,4.71,LKR 19.30,-1%
29,NTB,Nations Trust Bank,Colombo,Financials,Banking Services,LKR 39.14B,2.9x,0.07,LKR 120,1.7%
30,BUKI,Bukit Darah PLC,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 38.86B,4.3x,-0.14,LKR 381,-6.2%
31,BREW,Ceylon Beverage,Colombo,Consumer Non-Cyclicals,Food & Drug Retailing,LKR 38.20B,8.9x,0.59,"LKR 1,820",-4.2%
32,LFIN,L B Finance PLC,Colombo,Financials,Banking Services,LKR 37.01B,3.8x,0.26,LKR 66.80,0.3%
33,RCL,Royal Ceramics Lanka,Colombo,Consumer Cyclicals,Homebuilding & Construction Supplies,LKR 35.23B,4.9x,0.36,LKR 31.80,1%
34,SFCL,Senkadagala Finance,Colombo,Financials,Banking Services,LKR 32.44B,19.3x,0.09,LKR 417.75,11.1%
35,DFCC,DFCC Bank PLC,Colombo,Financials,Banking Services,LKR 30.29B,2.9x,0.02,LKR 70,0%
36,SUN,Sunshine,Colombo,Consumer Non-Cyclicals,Food & Drug Retailing,LKR 30.21B,6.7x,0.06,LKR 61.40,2.3%
37,NDB,National Development Bank,Colombo,Financials,Banking Services,LKR 29B,4.3x,0.07,LKR 69.80,1.2%
38,LLUB,Chevron Lubricants Lanka,Colombo,Energy,Oil & Gas,LKR 28.74B,7.6x,-5.67,LKR 119.75,0.6%
39,TEEJ,Teejay Lanka PLC,Colombo,Consumer Cyclicals,Textiles & Apparel,LKR 28.67B,13.5x,0,LKR 40,0%
40,SEYB,Seylan Bank PLC,Colombo,Financials,Banking Services,LKR 28.60B,2.7x,0.06,LKR 45,2%
41,WIND,Windforce,Colombo,Utilities,Electrical Utilities & IPPs,LKR 27.42B,17.5x,3.63,LKR 20.30,1.5%
42,UAL,Union Assurance,Colombo,Financials,Insurance,LKR 26.75B,7.2x,0.44,LKR 45.40,0.9%
43,ASIR,Asiri Hospital,Colombo,Healthcare,Healthcare Providers & Services,LKR 26.73B,9x,0.1,LKR 23.50,-1.7%
44,GLAS,PGP Glass Ceylon,Colombo,Basic Materials,Containers & Packaging,LKR 26.22B,8.2x,0.9,LKR 27.60,0.4%
45,CIC,CIC Holdings PLC,Colombo,Basic Materials,Chemicals,LKR 26.16B,1.9x,0.03,LKR 69,0%
46,PEOP,People’s Leasing & Finance,Colombo,Financials,Banking Services,LKR 25.42B,5.9x,0.47,LKR 11.80,-1.7%
47,HUNA,Hunas Falls Hotels,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 25.39B,-39.9x,0.83,LKR 29.90,-0.3%
48,SFTL,Softlogic Life Ins,Colombo,Financials,Insurance,LKR 24.75B,6.4x,0.41,LKR 66,-1.2%
49,AHPL,Asian Hotels & Properties,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 24.71B,"1,030x",9.63,LKR 55.80,1.5%
50,CFIN,Central Finance,Colombo,Financials,Banking Services,LKR 24.55B,3x,0.36,LKR 108,0%
51,KHL,John Keells Hotels,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 23.01B,-31.1x,-3.21,LKR 15.80,1.3%
52,BRWN,Brown & Co PLC,Colombo,Industrials,Diversified Industrial Goods Wholesale,LKR 22.75B,-29.2x,-0.32,LKR 107,3.9%
53,HAYC,Haycarb PLC,Colombo,Basic Materials,Chemicals,LKR 22.28B,5.8x,-0.17,LKR 75,-0.7%
54,SEYBt,Seylan Bank PLC NV,Colombo,Financials,Banking Services,LKR 22.25B,3.4x,0.06,LKR 35,1.4%
55,ACCE,Access Engineering,Colombo,Industrials,Construction & Engineering,LKR 22B,3x,0,LKR 22,0.9%
56,OSEA,Overseas Realty,Colombo,Real Estate,Real Estate Operations,LKR 21.50B,5.6x,-0.17,LKR 17.30,1.8%
57,TKYO,Tokyo Cement,Colombo,Basic Materials,Construction Materials,LKR 21.39B,8.2x,-0.16,LKR 48.50,1.3%
58,LHCL,Lanka Hospitals,Colombo,Healthcare,Healthcare Providers & Services,LKR 21.25B,11.6x,0.05,LKR 95,2%
59,AHUN,Aitken Spence Hotel,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 21.19B,11.8x,0.04,LKR 63,1.6%
60,CTEA,Ceylon Tea Services,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 20.94B,27.5x,-0.33,"LKR 1,010",0.5%
61,MGT,Hayleys Fabric,Colombo,Consumer Cyclicals,Textiles & Apparel,LKR 20.36B,9.1x,0,LKR 49,2.3%
62,DIPD,Dipped Products,Colombo,Consumer Cyclicals,Automobiles & Auto Parts,LKR 20.05B,4.4x,0.12,LKR 33.50,1.2%
63,ACL,ACL Cables PLC,Colombo,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",LKR 20B,5.3x,-0.13,LKR 83.50,0%
64,EDEN,Eden Hotel Lanka,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 19.80B,-4.1x,-0.09,LKR 12.50,2.5%
65,CICt,CIC Holdings NV,Colombo,Basic Materials,Chemicals,LKR 19.67B,2.5x,0.03,LKR 51.90,4%
66,PALM,Palm Garden Hotels,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 19.04B,-1.9x,-0.04,LKR 40,1.5%
67,SINS,Singer Sri Lanka,Colombo,Consumer Cyclicals,Household Goods,LKR 18.92B,14.2x,0.06,LKR 16.20,0.6%
68,TKYOt,Tokyo Cement Lanka,Colombo,Basic Materials,Construction Materials,LKR 18.48B,9.5x,-0.15,LKR 41.90,0.7%
69,WATA,Watawala Plantations,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 17.65B,8.1x,-0.95,LKR 86.80,0.3%
70,CAPI,Capital Alliance,Colombo,Financials,Investment Banking & Investment Services,LKR 15.22B,1.2x,0.01,LKR 45.60,-0.7%
71,CDBF,Citizens Develop Business Finance,Colombo,Financials,Banking Services,LKR 14.74B,2.4x,0.03,LKR 208,-3.3%
72,FIRS,First Capital Treasuries,Colombo,Financials,Investment Banking & Investment Services,LKR 14.71B,1.2x,0,LKR 23.60,-0.4%
73,MAL,Malwatte Valley Plantations,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 14.25B,60.9x,4.52,LKR 63.90,4.2%
74,LWL,Lanka Walltiles,Colombo,Consumer Cyclicals,Homebuilding & Construction Supplies,LKR 13.51B,5.1x,-0.51,LKR 49.50,0%
75,TILE,Lanka Tiles PLC,Colombo,Consumer Cyclicals,Homebuilding & Construction Supplies,LKR 13.24B,4.9x,-0.7,LKR 49.90,1%
76,VLL,Vidullanka PLC,Colombo,Utilities,Electrical Utilities & IPPs,LKR 12.93B,9x,0.18,LKR 13.70,-2.8%
77,VLLt,Vidullanka,Colombo,Utilities,Electrical Utilities & IPPs,LKR 12.77B,8.7x,0.18,LKR 9,-7.2%
78,LGGL,LAUGFS Gas PLC,Colombo,Energy,Oil & Gas,LKR 12.73B,-13x,0.09,LKR 32.90,0%
79,AMBE,Ambeon Capital,Colombo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,LKR 12.03B,7.2x,0.01,LKR 12,4.3%
80,ABLT,Amana Bank Ltd,Colombo,Financials,Banking Services,LKR 12.01B,5.4x,0.13,LKR 21.80,0.5%
81,LAMB,Kotmale Holdings,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 11.37B,18x,1.8,LKR 362,-9.5%
82,CFVF,First Capital,Colombo,Financials,Investment Banking & Investment Services,LKR 11.30B,1.6x,0,LKR 27.90,0%
83,COMN,Commercial Credit & Finance,Colombo,Financials,Banking Services,LKR 10.78B,2.3x,0.03,LKR 33.90,1.8%
84,LMF,Lanka Milk Foods,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 10.48B,6.4x,0.1,LKR 26.20,0%
85,GRAN,Ceylon Grain Elevators,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 10.20B,3.5x,-0.18,LKR 170,0%
86,SOFT,Softlogic Holdings,Colombo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,LKR 10.02B,-0.6x,-0.02,LKR 8.40,1.2%
87,UNIO,Union Bank,Colombo,Financials,Banking Services,LKR 9.75B,59.6x,-0.82,LKR 9,1.1%
88,HARI,Harischandra Mills,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 9.60B,51.2x,0.25,"LKR 5,000",11.1%
89,JATH,Jat Holdings,Colombo,Basic Materials,Chemicals,LKR 9.54B,8.8x,-0.4,LKR 18.50,3.4%
90,VALL,Vallibel Finance,Colombo,Financials,Banking Services,LKR 9.39B,4.3x,0.06,LKR 39.90,1%
91,PABC,Pan Asia Banking,Colombo,Financials,Banking Services,LKR 8.90B,4.6x,-0.18,LKR 20.10,3.1%
92,HASU,HNB Assurance PLC,Colombo,Financials,Insurance,LKR 8.78B,4.8x,1.28,LKR 58.50,0.9%
93,HNBF,HNB Finance,Colombo,Financials,Banking Services,LKR 8.66B,14.2x,0.06,LKR 5,0%
94,GUAR,Ceylon Guardian Invest,Colombo,Financials,Investment Banking & Investment Services,LKR 8.60B,2.8x,0.02,LKR 97.90,2%
95,JINS,Janashakthi Insurance,Colombo,Financials,Insurance,LKR 8.38B,2.1x,0.02,LKR 37,0.5%
96,NAMU,Namunukula Plantations,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 8.05B,4.5x,-0.14,LKR 338.75,-1.8%
97,MALt,Malwatte Valley Plant Non Vote,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 8.03B,108.1x,4.09,LKR 36,-9.3%
98,MERC,Mercantile Investments and Finance,Colombo,Financials,Banking Services,LKR 7.82B,11.8x,0.03,"LKR 2,600",0%
99,PRIE,Prime Lands Residencies,Colombo,Real Estate,Real Estate Operations,LKR 7.78B,6x,-0.1,LKR 8.10,2.5%
100,TRAN,Trans Asia Hotels,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 7.62B,51.9x,0.2,LKR 38.10,-13.4%
101,GHLL,Galadari Hotels Lanka,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 7.61B,88.4x,0.34,LKR 15.20,0.7%
102,LGGLt,LAUGFS Gas,Colombo,Energy,Oil & Gas,LKR 7.51B,-22.1x,0.08,LKR 19.40,2.1%
103,CDBFt,Citizens Development Non Vote,Colombo,Financials,Banking Services,LKR 7.37B,4.8x,0.03,LKR 104,0.2%
104,UML,United Motors Lanka,Colombo,Consumer Cyclicals,Specialty Retailers,LKR 7.22B,-22.3x,0.24,LKR 71.60,0%
105,LOLG,LOLC General Insurance,Colombo,Financials,Insurance,LKR 7.20B,6.5x,-0.25,LKR 5.90,0%
106,HELA,Hela Apparel Holdings,Colombo,Consumer Cyclicals,Textiles & Apparel,LKR 7.11B,-0.7x,0,LKR 5.40,0%
107,TAFL,Three Acre Farms,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 6.83B,2.6x,0.02,LKR 290,-2.8%
108,CFLB,Colombo Fort Land & Building,Colombo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,LKR 6.62B,-25.8x,0.46,LKR 27.60,0.4%
109,ALUM,Alumex PLC,Colombo,Basic Materials,Metals & Mining,LKR 6.58B,-16.6x,0.02,LKR 11,-1.8%
110,VPEL,Vallibel Power Erathna,Colombo,Utilities,Electrical Utilities & IPPs,LKR 6.50B,6.3x,0.62,LKR 8.70,4.8%
111,KCAB,Kelani Cables PLC,Colombo,Technology,Communications & Networking,LKR 6.37B,3.2x,-0.09,LKR 292,0%
112,SOCL,Softlogic Capital,Colombo,Financials,Insurance,LKR 6.35B,-4.4x,-0.08,LKR 6.50,1.6%
113,EBCR,EB Creasy and,Colombo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,LKR 6.14B,57.1x,-0.27,LKR 24.20,3%
114,KHC,Kandy Hotels (1938),Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 6.11B,-29.7x,0.04,LKR 8.10,3.8%
115,TYRE,Kelani Tyres PLC,Colombo,Consumer Cyclicals,Automobiles & Auto Parts,LKR 6.09B,5.4x,0.07,LKR 75.70,-2.1%
116,HATT,Hatton Plantations,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 6.08B,4.7x,-0.14,LKR 25.70,-1.2%
117,SHOT,Serendib Hotels,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 5.98B,7.9x,0.06,LKR 13.40,3.1%
118,SIRA,Sierra Cables PLC,Colombo,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",LKR 5.86B,8.1x,-0.82,LKR 10.90,1.9%
119,RILP,R I L Property,Colombo,Real Estate,Real Estate Operations,LKR 5.84B,5.1x,0.03,LKR 7.10,1.4%
120,BPPL,B P P L,Colombo,Consumer Non-Cyclicals,Personal & Household Products & Services,LKR 5.83B,-64.1x,0.47,LKR 19.30,1.6%
121,AMSL,Asiri Surgical Hospital,Colombo,Healthcare,Healthcare Providers & Services,LKR 5.81B,10.5x,1.5,LKR 11,-2.7%
122,TPL,Talawakelle Tea Estate,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 5.80B,3.8x,-0.1,LKR 122,3.2%
123,SEMB,SMB Leasing PLC,Colombo,Financials,Banking Services,LKR 5.73B,16.7x,0.56,LKR 0.60,0%
124,DIMO,Diesel & Motor Engineering,Colombo,Consumer Cyclicals,Specialty Retailers,LKR 5.50B,-16.1x,-1.44,LKR 595.25,0.7%
125,NHL,Nawaloka Hospitals,Colombo,Healthcare,Healthcare Providers & Services,LKR 5.50B,19.2x,0.14,LKR 3.90,-2.5%
126,ABEO,Ambeon,Colombo,Consumer Cyclicals,Textiles & Apparel,LKR 5.35B,5.6x,0.02,LKR 38.50,0.3%
127,CAPR,Softlogic Finance,Colombo,Financials,Banking Services,LKR 5.10B,-1.8x,-0.06,LKR 5.30,-8.6%
128,AGAL,Agalawatte Plantations,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 5.05B,13.3x,-0.11,LKR 32.30,-3.6%
129,CINV,Ceylon Investment,Colombo,Financials,Investment Banking & Investment Services,LKR 4.97B,2.8x,0.02,LKR 50,1.2%
130,SANA,Sanasa Development Bank,Colombo,Financials,Banking Services,LKR 4.96B,8.8x,0.01,LKR 30.20,0%
131,SERC,Kingsbury,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 4.94B,30.7x,0.18,LKR 10.20,0%
132,BOGA,Bogala Graphite Lanka,Colombo,Basic Materials,Metals & Mining,LKR 4.93B,20.4x,0.72,LKR 52.10,0.2%
133,KVAL,Kelani Valley Plantations,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 4.90B,4.3x,-0.24,LKR 72,0%
134,CHL,Ceylon Hospitals,Colombo,Healthcare,Healthcare Providers & Services,LKR 4.89B,7.8x,-0.34,LKR 119,0%
135,JETW,Jetwing Symphony,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 4.64B,35.8x,0.25,LKR 7.70,0%
136,NEH,Nuwara Eliya Hotels,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 4.59B,7.9x,0.01,"LKR 2,099",6.5%
137,REXP,Richard Pieris Exports,Colombo,Consumer Cyclicals,Automobiles & Auto Parts,LKR 4.47B,24.2x,0.27,LKR 400.50,-4.6%
138,COOP,Co operative Insurance,Colombo,Financials,Insurance,LKR 4.46B,-67.4x,0.22,LKR 2.70,3.8%
139,EXPA,ExPack Corrugated Cartons,Colombo,Basic Materials,Containers & Packaging,LKR 4.40B,7.2x,-0.13,LKR 13.10,0.8%
140,DIAO,Dialog Finance,Colombo,Financials,Banking Services,LKR 4.29B,-65.9x,1.61,LKR 36.50,-9%
141,PEIN,People’s Insurance,Colombo,Financials,Insurance,LKR 4.22B,10.1x,-0.22,LKR 20.70,1%
142,SHOTt,Serendib Hotels,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 4.06B,11.6x,0.06,LKR 9.10,0%
143,RENH,Renuka Hotels,Colombo,Consumer Cyclicals,Hotels & Entertainment Services,LKR 4.01B,12.4x,-0.16,LKR 103.75,11.7%
144,KFP,Keells Food Products,Colombo,Consumer Non-Cyclicals,Food & Tobacco,LKR 4B,-31.9x,-1.05,LKR 157,2.6%
145,JKL,John Keells PLC,Colombo,Financials,Investment Banking & Investment Services,LKR 3.90B,33.4x,-0.56,LKR 64.20,-1.7%
146,LCEY,Lankem Ceylon PLC,Colombo,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",LKR 3.86B,34.2x,-0.22,LKR 74.90,0.1%
147,CLND,Colombo Land Develop,Colombo,Real Estate,Real Estate Operations,LKR 3.80B,9.8x,0.07,LKR 19,-4.5%
